perturbation,A_persist,A_kill,A_resist,magnitude
A1BG,0.05656789650689,1.059470961124411,-0.24509653135616047,0.0
A2M,-0.1263672379506907,0.4173247942218696,-0.06906346506322592,3.828641396489095
AAAS,-0.09527388228974744,-0.14299897396258773,-0.7517456940740684,0.6931471805599453
AACS,-0.23957240741014757,0.32714949014825634,0.29033720536954455,2.8903717578961645
AAGAB,0.19578123438629458,-0.17137845744626756,1.067143338230931,0.6931471805599453
AAK1,0.09407362118783726,0.04566201821956974,0.49440115829807807,1.6094379124341003
AAMDC,-0.26182999169031973,-0.8739026860772127,0.37720978258157184,3.4339872044851463
AAR2,-0.41748384577548586,-0.6492514390099472,-0.011010411760027853,1.791759469228055
AARSD1,-1.075689926356828,0.3231069828364978,0.1976577239204921,0.0
AASDH,0.8334958836229979,-0.45407957415485206,0.505546923028762,4.624972813284271
AASDHPPT,0.39819704054445354,-0.646603776569346,0.29260312094893537,1.3862943611198906
AASS,0.04631331450453088,0.48970895832200084,-0.5713632814901285,3.295836866004329
ABAT,-0.19800079431268172,-0.4437236214531839,-0.5843534872244609,0.0
ABCA1,0.09605549996799238,0.803910843300585,-0.26573212065468393,2.4849066497880004
ABCA2,-0.7270889758150856,0.08785669841966325,-1.0682919156547188,0.6931471805599453
ABCA3,0.499676256037476,0.3275755322150373,0.6888214062136736,5.225746673713202
ABCA5,0.5891696132657901,-0.8717152787495178,0.2633636081670871,3.58351893845611
ABCA7,-0.5875135708684665,-0.11924337822671034,-0.2912099596465083,1.0986122886681098
ABCB1,-0.28951339434301726,0.7019319039076478,-0.48771209151327105,1.0986122886681098
ABCB6,-0.19915677274284327,-0.43911317004004574,0.6159442054875426,0.6931471805599453
ABCB8,-0.8106395614215377,0.4120426986540158,-0.04609487108272973,1.6094379124341003
ABCB9,-0.3920363699337141,0.09312321717468659,-0.007824819988696496,0.6931471805599453
ABCC1,0.2846021253674555,-0.6030351537415375,0.6452339318472549,3.6375861597263857
ABCC10,0.5115241472461841,-0.3141499910988521,-0.20574111050748245,0.0
ABCC2,-0.7427054207857492,0.6933570643040848,-0.882127868657939,0.0
ABCC3,-0.02710882637792059,-0.05599714807943181,0.18371307627455988,1.3862943611198906
ABCC4,0.3849877917036786,-0.5958284239915125,-0.5348570874733724,3.58351893845611
ABCC5,-0.07535112776356655,0.21734428894227845,0.008697132921336484,0.6931471805599453
ABCC8,-0.11293673040176486,-1.7415976586422068,1.3309913369354436,0.0
ABCD2,-0.7658826090862487,0.6846824195839756,-0.1907311968563958,2.772588722239781
ABCD3,0.15098287936159493,-0.12200918939727678,0.20897092012155638,0.6931471805599453
ABCD4,-0.25423192270885264,-0.6388895331601653,0.47862772644741775,2.3978952727983707
ABCE1,0.556611643993715,-0.15701548211821448,0.33668376310423587,2.1972245773362196
ABCF2,0.3466098961766161,1.4314433739547094,-0.6986754270946762,1.791759469228055
ABCF3,-0.9166337433018722,0.709357386210684,0.11335285031537583,0.0
ABCG1,0.28252935550334174,1.0734482940106198,-0.5059452983126165,0.0
ABHD10,0.05103971892386985,-0.14974029448274623,-0.5014407552826705,1.0986122886681098
ABHD11,-0.8049138476300771,0.2668916692456144,-0.3179239114910768,1.0986122886681098
ABHD12,-0.7253016904264266,0.5031291625837232,0.9698408862341067,0.6931471805599453
ABHD13,-0.14954590465516313,1.8051624659481418,-0.6142296240496127,4.2626798770413155
ABHD14A,0.14072939846974158,-0.5692535957783097,0.7294940384172719,1.9459101490553132
ABHD14B,-0.5532423805600725,-1.4919750981405813,0.8136906376603613,1.6094379124341003
ABHD15,-0.05094708958137553,-0.496490295997606,-0.5520523412546839,3.4011973816621555
ABHD16A,-0.18491024649392357,-0.430031648905184,0.13880946805462455,1.3862943611198906
ABHD16B,0.14628882829986906,-0.1257084355363096,0.1168273140979943,1.0986122886681098
ABHD17A,0.736209048055537,-1.2137948088517914,0.32955945265272474,4.219507705176107
ABHD17B,0.4998363001497404,-0.20288821210706953,-0.10498075500232003,1.0986122886681098
ABHD18,0.01789222641592126,-0.3273194953502809,-0.06688280477582798,1.6094379124341003
ABHD2,-0.3695302505198341,-0.9715760553076819,0.9545743038369275,1.6094379124341003
ABHD3,-0.6746037120737352,0.21623851820758364,0.3073176244120112,1.0986122886681098
ABHD4,-0.106273723007011,-0.4363058508057028,0.2790915317640948,1.0986122886681098
ABHD5,0.20225813037688348,0.03096813197988794,0.12147165648053478,1.0986122886681098
ABHD6,0.3066080675135651,0.48162372786151814,-0.2547357026200677,1.3862943611198906
ABHD8,-0.08202248312426835,0.19915258698286523,0.12900409532244814,0.6931471805599453
ABI1,-0.3200801096189691,-0.8140704290522504,0.67206680562993,1.0986122886681098
ABI2,0.9964806474814238,-0.8168881898590974,0.0838362928374941,1.791759469228055
ABI3,-0.7639980575484973,0.5020770002159728,-0.194027014793726,1.0986122886681098
ABL1,-0.24896155457692032,-1.0644799952332193,0.6884729978438707,0.0
ABL2,-0.24531913749326514,-0.04411805581685454,-0.050030161085332765,2.3978952727983707
ABLIM3,-0.31830506662571223,-0.12405870945151486,-0.15066173992255255,1.0986122886681098
ABRACL,0.11782180969843718,0.17585487873039196,0.0205713641929904,0.6931471805599453
ABRAXAS1,-0.2562057756725776,-0.41229152120302004,-1.0443053279958916,1.6094379124341003
ABRAXAS2,-0.4602697761475389,-0.5709506665107337,0.15890484054541568,0.6931471805599453
ABTB1,-0.07201953464179899,0.967886166983822,-0.2055311591168345,0.6931471805599453
ABTB2,-0.2587185878796904,-0.28714735503389044,-0.458455941660667,0.6931471805599453
ACAA1,-0.17237220097963696,-0.04524960419057278,0.08251880488445905,1.791759469228055
ACAA2,-0.5771216750200143,-0.48326234864353684,0.5819189779573749,1.9459101490553132
ACACA,0.06195800176040446,-0.06527247177369573,-0.1824321618143506,6.81783057145415
ACACB,0.02749511744491434,-0.381256759694097,0.11864026806898657,0.6931471805599453
ACAD10,0.3083606603396817,-0.299847144818031,-0.09891997862682071,2.0794415416798357
ACAD11,0.09049613064846261,-0.3424678956590648,1.0212606210755748,5.14166355650266
ACAD8,0.5484322802372635,-0.22615265450362396,0.34704275978914784,1.0986122886681098
ACAD9,0.94962423037818,-1.7233789584450605,1.2279575270290686,6.410174881966167
ACADM,-0.18855671216070363,-0.12878917797502906,-0.1584932007257177,1.0986122886681098
ACADS,-0.8272764398095859,-0.018947137507733153,0.1423962688225265,3.4339872044851463
ACADSB,-0.03267971000692719,-0.36711235744749643,0.5288083659185814,1.0986122886681098
ACADVL,0.013982138506444636,0.5695776216665359,-0.4674182361743871,1.6094379124341003
ACAP1,-0.17949334648151002,-0.7248179797341315,0.34735310098308414,1.0986122886681098
ACAP2,-0.23672988779624385,0.41618536486668734,0.20316038879329265,0.6931471805599453
ACAP3,-0.007487043492347722,-0.6991700939177009,0.621482714784326,1.0986122886681098
ACAT1,-0.03799802382944059,-0.21606386324284865,0.2989033243444656,0.6931471805599453
ACAT2,0.38639053787977967,-1.1386754347715284,0.4054306585787894,1.9459101490553132
ACBD3,-0.3688280036476082,-0.21132244669460284,0.2227641611626823,1.3862943611198906
ACBD4,0.011747122581775812,0.34855045458934386,0.12261461640005,0.0
ACBD5,0.11506016653184822,-1.191598158582279,0.4607923698464136,1.6094379124341003
ACBD6,-0.152242502110035,-0.37294612898993473,0.41259437224585344,1.6094379124341003
ACCS,0.8779291370824307,0.09240239522374986,0.2647743040861446,1.0986122886681098
ACD,-0.2221311359860151,-0.6430298116759448,0.37410095004627325,2.6390573296152584
ACE,0.4846007592773881,0.32802292979423875,-0.008379768967222636,0.6931471805599453
ACER1,-0.1663268589120446,0.9252576600362765,-0.5848561903542903,0.0
ACER2,-0.0030444925178705487,-0.732653560950029,0.763609022769613,1.791759469228055
ACER3,-0.5051910487475587,0.3341953883453514,-0.18982873342686937,0.6931471805599453
ACIN1,0.24554968517576956,0.11026674380939472,0.12445148064820015,0.6931471805599453
ACKR3,-0.015043918562859826,-0.18380493538686857,1.1524981302188724,0.0
ACLY,1.6131721890659585,-2.1058914652658456,2.646038974902909,7.796880342783522
ACO1,-0.2965167631715817,-0.5788224057944965,0.2436002161900873,0.6931471805599453
ACO2,0.13455036421977076,-0.2688286081058017,0.09291293298451934,0.6931471805599453
ACOT13,-0.2762919053433258,0.6898208852486681,0.21968436991439835,1.3862943611198906
ACOT2,-0.2456646680691143,0.4590917409214363,-0.01848842938542565,0.6931471805599453
ACOT4,0.002646820058399879,-0.39564016160493454,0.3060432746116319,0.0
ACOT7,-0.21265941003190747,0.5520029999491035,0.9587004245792624,6.740519359606223
ACOT8,-0.04565382535919396,-1.012799055846654,0.7266324361547108,1.9459101490553132
ACOT9,0.6538090764500171,-1.3764376888510899,0.8332923080627156,2.0794415416798357
ACOX1,0.14355097933133562,-0.3418552675201884,0.06794663805048022,2.1972245773362196
ACOX3,-0.4788810033497295,-0.16807671412432837,-0.1556304248024548,1.3862943611198906
ACP1,0.026626039846193543,0.30875894525415254,-0.3687133353874544,1.791759469228055
ACP2,0.19899964223422978,-0.3565421903138062,0.343058581513056,1.6094379124341003
ACP5,-0.1066885996083756,0.10317774542713642,0.4893270697500201,1.3862943611198906
ACP6,-0.3892894375300952,0.11050583804145891,0.0008238911492551293,1.9459101490553132
ACRBP,0.540151776755604,-0.404483707126335,0.849248449913038,1.6094379124341003
ACSF2,-0.0948954772017354,-0.0800296412835872,0.05980833577714854,0.6931471805599453
ACSF3,-0.14276504281460253,-0.5106130144147641,0.20766251027876548,1.0986122886681098
ACSL1,-0.19696960925645216,0.6994562811135401,-0.06546308531442553,4.709530201312334
ACSL3,0.229900595962825,1.3445081342878646,-1.2829187856447286,4.007333185232471
ACSL4,-0.13487147299798116,-0.6728645548111007,0.6519926060979825,1.0986122886681098
ACSL5,0.5968862620105528,-0.5048372715253819,0.23737531573392148,1.0986122886681098
ACSL6,-0.7666839129901781,0.4057970284142978,-0.04112600673504233,1.791759469228055
ACSM3,0.5154727443289885,-0.5706744992715467,0.12668431639767058,1.0986122886681098
ACSS1,-0.05999589268555525,-0.08611173064377281,0.6980495858002586,1.6094379124341003
ACSS2,0.010996837030015512,0.2931683871672887,-0.8770070819104353,2.0794415416798357
