,dataset,engaged_class,TSC,L1_state,L2_migration,L3_synapse,L4_killing,b_activation,b_cd8_identity,b_total_counts,n_counts,cd8
A2_1,exposed,medium-exposed,-0.24070752376975374,1.629540174970991,-0.323077477402556,-0.31720343297009035,-1.3518314086185612,-1.0524814441376504,-1.2223172034299588,-0.9887329986103721,3134.1000000000004,CD8-
A3_1,exposed,medium-exposed,-0.4500864759216464,0.47409938339527646,-0.8988954229475723,0.20329288932309475,-1.4042033497494308,-0.807252075828588,-1.3544699435087653,0.1506096172441006,6282.700000000001,CD8-
A4_1,exposed,medium-exposed,1.0344628990675697,1.7554330316441638,2.3460978642742645,1.1854973729131908,-0.5025447877019089,-1.1432141645444607,0.2869640891373155,1.1347307655818535,11455.199999999999,CD8+
A5_1,exposed,medium-exposed,0.5879211285907747,0.9009361065029684,1.8395035576680046,1.016873540339236,-1.0737595717106836,-1.2027562623831964,-1.247188872516083,0.278121851014266,6791.200000000001,CD8-
A7_1,exposed,medium-exposed,0.30284674045906085,0.5189124807509032,1.4624397328901368,0.7054083176325412,-1.2842267985515445,-1.3289783397673116,-1.948199838150031,0.7719978201728711,9180.3,CD8-
A8_1,exposed,medium-exposed,0.5099508664140004,2.5233199590578748,1.7663176225653734,0.014296822279258025,-1.334639974013717,-0.9099913921632675,-3.317523038553952,-1.4685419364771435,2338.3,CD8-
A9_1,exposed,medium-exposed,0.505923799929435,0.21429310740585222,1.0260094250282754,1.145580833299155,-0.28325108698356954,-0.9510660747991502,1.6249687297467665,0.385908519126482,7253.0,CD8+
A10_1,exposed,medium-exposed,0.19287521725224463,1.0203231831130937,0.13741059322775157,0.6257664048173431,-0.6361527311809564,-1.0720592787501078,-0.31387509216280807,0.3101350124508229,6925.2,CD8-
A11_1,exposed,medium-exposed,0.4026822893716826,1.2825364189282256,1.1393119588251932,-0.16060356096154646,-0.1780801251533986,-0.6145814466162574,0.9596127001889003,-0.03648211613903134,5604.699999999999,CD8+
A12_1,exposed,medium-exposed,-0.22451821545986977,0.46719666699178786,-0.8951427974972848,-0.380762271789383,0.08273225729454395,-0.9884148656300438,0.4766814538775137,0.1666210292371644,6344.400000000001,CD8+
A13_1,exposed,medium-exposed,-0.21827605654524512,1.0970542141393964,-0.260062496416188,-0.14367213546783883,-1.1623125598189559,-0.994319852062394,-1.3146735323131136,-0.24778824734619195,4926.5,CD8-
A15_1,exposed,medium-exposed,0.40365665025791153,2.3842301591912336,1.1155535285443656,0.05976783597456352,-1.0666691225512204,-1.1965116674186622,-1.1670826369325038,0.11422144990606826,6144.700000000001,CD8+
A17_1,exposed,medium-exposed,0.2567820461300002,-1.143963217748035,1.3953249785408217,1.1012948364749782,-0.7469190772548787,-1.0897967896178862,1.6830828675685567,-0.07822598529542882,5463.700000000001,CD8+
A20_1,exposed,medium-exposed,-0.1534008452438142,2.7479209359509564,-0.39634917815215476,-0.70081126539556,-1.252138819942881,-1.1087873242421933,-2.4079145766185808,-0.4929809909000665,4241.7,CD8-
A21_1,exposed,medium-exposed,0.9788654703803955,1.6590404156098475,0.9446405970864509,1.727187189556344,0.1957183486042216,-0.7836865574014407,0.4415561809108226,-0.19558691859754498,5086.0,CD8+
A22_1,exposed,medium-exposed,0.36756551268608784,0.5484990893568398,1.1600631398755297,1.3846551797046107,-1.4209100544977908,-0.8744501280194092,-1.6475339942045957,-0.9949122038450219,3122.3,CD8+
A23_1,exposed,medium-exposed,0.28973029214308693,-0.12873639818792573,1.4949455270487353,0.31974475568860355,-0.5744540976587718,-0.5384302886664345,1.1760671349949725,-0.7236021181441736,3684.7000000000003,CD8+
A24_1,exposed,medium-exposed,0.04293798605194668,-0.9596909714834669,-0.24004038019917637,1.708883897411651,-0.6909126812111546,-1.2088082704767231,0.9439517490062679,0.21664553700766276,6541.099999999999,CD8+
B1_1,exposed,medium-exposed,-0.02589929460566534,-1.8329084437694463,0.6211436242261736,1.259347747356957,-0.8263508592096528,-1.084616815570429,0.8911249199768014,0.8482435803501565,9617.6,CD8+
B5_1,exposed,medium-exposed,0.4204747091450858,1.6359423027508404,1.7393046175062938,-0.021503857626263518,-1.069227985111814,-1.0850121952497127,-0.6528268180424213,-1.806101428598152,1902.8,CD8+
B6_1,exposed,medium-exposed,0.022955192589250273,1.286675153644874,0.22407996219818235,0.5061627860149501,-1.45113705167733,-0.8394639195374849,-0.7913100134278486,-0.8778438600872517,3353.6000000000004,CD8+
B7_1,exposed,medium-exposed,0.5908813282993985,0.6548459158437339,0.6952411595846149,1.3757445245481303,-0.12108703134654805,-0.7987509152616934,1.2019224743390653,-0.011591351618196155,5690.5,CD8+
B8_1,exposed,medium-exposed,0.41847043141052814,1.1218501483065453,1.5092854866867649,1.1030575398207971,-1.6470663621464576,-1.0199960622940156,-2.3680926835822707,-0.7363222860014691,3656.2,CD8+
B9_1,exposed,medium-exposed,0.16956233660081182,0.4434120233180209,0.7078862987151386,1.1314637049706269,-1.4411772828731098,-0.8569525416589847,-2.3229260139518817,0.4466633094921761,7527.0,CD8+
B10_1,exposed,medium-exposed,0.11553431979381559,0.8977416298958055,0.5528540178126197,0.13064798795467733,-0.7884139564977416,-0.5947045374040791,-1.4494341824989356,0.17635356152037066,6382.199999999999,CD8-
B12_1,exposed,medium-exposed,0.9404200746104497,1.1831336647092578,2.063964259742519,1.9018926866761516,-0.9514908095433428,-0.45508121272441937,-1.1633042059310847,-0.08089690600131245,5454.8,CD8+
B13_1,exposed,medium-exposed,0.4698590582312016,0.4466532623429309,0.6304123661824348,1.8376629303472471,-0.8707629843545754,-0.6413880397554506,1.4024047483475952,0.27911069042352976,6795.3,CD8+
B15_1,exposed,medium-exposed,0.45585986933875694,3.632318496222175,1.005898654346859,-0.47484492176977083,-1.0019307238635948,-0.29484535397215883,-2.256086622849785,0.16302754846716166,6330.500000000001,CD8+
B16_1,exposed,medium-exposed,-0.08035743269782439,-2.4292435696114087,0.2498780097622293,1.569926632761616,-0.6068277583947491,-0.9050295998728547,1.6054034536406805,-0.13261350703158278,5285.300000000001,CD8+
B17_1,exposed,medium-exposed,0.27044990881380615,0.2564339143521147,0.13816090653600765,0.8668481935616303,-0.08518329875267709,-1.0686555441649543,2.0126724699355973,0.7707658744462803,9173.4,CD8+
B19_1,exposed,medium-exposed,0.37837612049424807,0.13824568973264495,1.974751398817299,0.12707182074249274,-0.6756401998945983,-1.0392028833839555,0.9054117447978853,-0.7539809868104486,3617.0,CD8+
B21_1,exposed,medium-exposed,0.3782981628569397,2.76215506332304,1.5743685842658346,-0.04632380817409136,-1.7595388467437723,-1.1677812624723103,-1.9299001542497662,0.09787564954155559,6083.700000000001,CD8+
B22_1,exposed,medium-exposed,0.5933602199971273,2.5296362671826973,0.705505713479731,0.7001365129995352,-0.6300199721169066,-1.342972587420087,-1.020073648364979,-0.13814043520884317,5267.5,CD8-
B23_1,exposed,medium-exposed,0.6054804031316828,0.31931735538017847,1.3210216207355634,1.373851483428957,-0.4746450017013387,-0.6735685250100971,0.06155237428405874,0.029042973467484808,5833.4,CD8+
B24_1,exposed,medium-exposed,0.9474512931986439,0.7591623353192002,2.4861229173188746,1.316625934822899,-0.4924607288864216,-1.261711876000483,0.4798365976880319,0.020482560677007898,5802.999999999999,CD8+
C1_1,exposed,medium-exposed,-0.054710154504778716,-0.708264015261283,0.15804010144549674,0.452340151030475,-0.38185321921389603,-0.80657414434862,2.0266956380769523,-1.0664391345326711,2988.9,CD8+
C4_1,exposed,medium-exposed,0.10057538446987338,-0.026654485893155,1.3880401153206194,-0.6484085872078743,-0.32049395946903236,-1.3126607023827552,0.1964163495255985,-0.24062086795587645,4948.1,CD8+
C5_1,exposed,medium-exposed,0.6516110767779361,1.0841910871451566,1.591181673748204,0.31295775105326806,0.017486778121825197,-1.0728112134838972,1.186369470749754,0.7163241535491504,8873.6,CD8+
C6_1,exposed,medium-exposed,0.07890686415148862,0.9789411030238573,2.1015870409803554,-1.2874050421409466,-1.1168925808260826,-1.0869742175579253,-1.6068563151228181,-0.4409792520562793,4378.5,CD8+
C7_1,exposed,medium-exposed,-0.330481479305559,-1.893765474292375,0.5350862784877441,-0.45348113216824676,-0.2073536578619475,-1.2656227128011197,1.2593090275527832,0.7132191985687715,8856.800000000001,CD8+
C8_1,exposed,medium-exposed,0.047527489478438434,1.6294299763440963,-0.24057996014575392,0.7357521986517825,-1.3342748986797666,-1.2223825580427667,-3.264219494113906,-1.2120365103670885,2734.7,CD8-
C9_1,exposed,medium-exposed,0.371567252897788,1.7892723150879957,0.9018638768832714,-0.15196213832596486,-0.3938081076934658,-0.781923974051191,1.655575034433814,-0.8214303197662636,3471.1,CD8+
C10_1,exposed,medium-exposed,-0.2941384282540408,-0.62306455034942,0.5886091557688921,-0.3298379903767665,-1.041772589317952,-1.284487494882429,-2.072593098224547,0.07042019531241576,5982.599999999999,CD8-
C11_1,exposed,medium-exposed,-0.10141362943250892,2.1088751285904883,0.4393830053111474,-1.1002168339172536,-1.0768698865899389,-0.8365962163100236,-0.16554810627217176,-0.7168581884428876,3699.9,CD8-
C12_1,exposed,medium-exposed,0.1421616704397713,-0.7666148066184573,1.0378136281315449,0.5085982851028702,-0.49354090539861434,-0.5626434276429237,1.2782973059640204,-0.39050457546170353,4515.5,CD8+
C13_1,exposed,medium-exposed,1.6272118740199624,4.641958311701542,2.769045916828067,2.014808322952502,-1.207051775644106,-1.236380744037457,-3.7378391571150114,-0.5121724836981407,4192.299999999999,CD8+
C14_1,exposed,medium-exposed,0.7876358408889187,0.037878511946112,1.455654998525676,2.1258009893757377,-0.45483819526029023,-1.0698655901018292,1.472179324986269,-0.4897399029788605,4250.1,CD8+
C15_1,exposed,medium-exposed,0.3155563789662921,0.7167097851752966,0.5416179335997164,1.271565416648678,-1.0036601690145228,-0.8211266768419091,-2.3167410271470277,0.6166556323332273,8349.9,CD8-
C16_1,exposed,medium-exposed,0.09336233465688326,0.7535079247066813,1.842209334906169,-0.5635946472009378,-1.3811108485443562,-0.5812251040277149,-1.756933801711837,-1.0857343320824062,2953.8999999999996,CD8-
C17_1,exposed,medium-exposed,0.2528135364451087,1.3895094526193623,1.5681263949427326,-0.32177127065991645,-1.1127702753422286,-1.1029314709199103,-0.9432526524006145,-0.0977729725319718,5398.9,CD8-
C19_1,exposed,medium-exposed,-0.4626960747006226,-0.4789356024022495,-0.44339226517594005,-0.4095732550223035,-0.6953040511228649,-1.3042156483520064,1.407223185604956,-0.5407514940959185,4119.8,CD8+
C20_1,exposed,medium-exposed,-0.1681862974687739,0.9643523176439108,0.9645045948569394,-0.5796220868136512,-1.6667508808783078,-1.173672792227228,-1.2178708241448626,-0.4181284017889661,4440.0,CD8-
C21_1,exposed,medium-exposed,0.3757515792315092,3.1998187527474427,0.9895291049050342,-0.17821369203696474,-1.3294415678692484,-1.0558201044946673,-2.3495194136885305,-0.16081485999721987,5195.1,CD8-
C23_1,exposed,medium-exposed,0.5651338773559175,-0.8363855492559739,1.5849905438807002,2.0180517311687347,-0.814212470456556,-1.0294037092278152,1.3500304849414364,-0.40992074093721564,4462.299999999999,CD8+
C24_1,exposed,medium-exposed,0.49693663955500433,1.6643326013512791,1.8205475953092354,0.7866503514976239,-1.6707098893347014,-1.0479587615925277,-1.4602773540052272,0.15532288178017928,6300.799999999999,CD8-
