axis,auroc,auroc_informative,mwu_p,R_mean,NR_mean,direction
activation_tcr,0.4694055944055944,0.5305944055944056,0.6749667918586304,-0.5998127573566077,-0.497193642253389,R<NR
th1_effector,0.5113636363636364,0.5113636363636364,0.8792380318609538,0.25061909602668186,0.20377954904988277,R>NR
th2,0.395979020979021,0.604020979020979,0.14976957450812306,-1.7535414690776157,-1.4833492121779746,R<NR
exhaustion_like,0.3872377622377622,0.6127622377622378,0.11831295580963837,-0.41056390586151736,-0.3123714341321061,R<NR
memory_stem_like,0.4868881118881119,0.5131118881118881,0.8601015859894885,-0.8428150041831807,-0.775197569611439,R<NR
cd4_ctl_cytotoxic,0.4195804195804196,0.5804195804195804,0.2660668756554492,2.537240544573555,3.1824552855378223,R<NR
treg,0.4353146853146853,0.5646853146853147,0.3716542051536257,0.6363795129753673,0.8706835294577625,R<NR
