gene,magnitude,S,R,target_baseMean,n_cells_target,detectable,C
L3MBTL3,3.7240450382232666,0.05972762778401375,-0.03737995773553848,0.02472013607621193,122,False,
HLA-DRB1,4.611988067626953,0.048589952290058136,0.012832577340304852,0.07011307030916214,100,False,
HAT1,4.5955986976623535,0.08841104060411453,0.008297196589410305,0.3203698992729187,102,False,
NIPAL2,3.8137319087982178,0.02867077849805355,-0.003483150154352188,0.08941860496997833,110,False,
CCDC22,4.203439235687256,0.09620177745819092,0.16646215319633484,0.09723354130983353,124,False,
TMED7-TICAM2,3.825201988220215,0.024493340402841568,-0.09424073249101639,,135,False,
CARD9,4.418754577636719,0.04886128753423691,0.1460275799036026,0.08638133853673935,122,False,
TGIF1,3.773672580718994,0.02121765911579132,0.03757655993103981,0.0828910768032074,120,False,
NR3C1,5.1835784912109375,0.003966065123677254,-0.09417909383773804,1.7762426137924194,74,True,0.025963149078726967
RAB5C,5.588959693908691,0.06239110976457596,-0.05826544016599655,0.7239664196968079,81,True,0.27386934673366836
ERG,6.238840579986572,0.0011891900794580579,-0.08665560930967331,0.0040404158644378185,75,True,0.007537688442211055
TLR2,4.469883918762207,0.05663023144006729,-0.04422774165868759,0.2524212896823883,109,False,
NEUROD4,5.791935920715332,0.11943268775939941,0.10869668424129486,,78,True,0.7462311557788945
HLA-J,4.032493591308594,0.07825888693332672,0.03842088207602501,,118,False,
C1orf141,5.215754985809326,0.12123231589794159,0.02432597242295742,,66,True,0.6432160804020101
BTK,4.462861061096191,0.07485038787126541,-0.024598903954029083,0.25656458735466003,92,False,
IRF1,4.138200283050537,0.02899470180273056,-0.059823356568813324,1.9209818840026855,103,False,
KSR1,4.039974212646484,0.046652790158987045,-0.02997990883886814,0.012728285044431686,109,False,
AKIRIN2,4.252650260925293,0.002612798009067774,-0.024991674348711967,0.32340916991233826,91,False,
SPRED2,4.185550212860107,0.004377528093755245,-0.029711822047829628,0.2588181495666504,119,False,
IL17RA,4.636730194091797,0.06926055997610092,0.02823023870587349,0.2145170122385025,92,False,
GPX4,3.8099205493927,0.012479867786169052,0.0066442666575312614,1.42416512966156,100,False,
MEF2C,4.8628034591674805,0.028430746868252754,0.08909590542316437,1.6171518564224243,89,True,0.525963149078727
PRKN,4.464128017425537,0.012095773592591286,0.06784551590681076,0.006372055038809776,103,False,
