gene,M_prot,S_prot,surf_shift,n_cells,M_rna,S_rna,C_rna,detectable,is_pos
SLC7A5P1,0.1916920810249359,0.13247672610959654,0.006687960576568767,260,9.00996208190918,0.1835941225290298,,False,False
SLIRP,0.20128805925834128,0.3513397111964217,-0.04585157065354869,169,10.01524829864502,0.1327848434448242,0.8067226890756303,True,False
SMAD3,0.16600946207390307,0.4551863074705417,0.028698826775648945,271,9.314860343933104,0.2190418690443039,,False,False
SMAD4,0.22202464977531045,0.3123832070761186,0.06539530601643484,274,9.041439056396484,0.2184536904096603,,False,False
SNHG6,0.22588566826804263,0.40132778320625845,0.021494704044411117,202,9.187170028686523,0.2017398327589035,,False,False
SNRPG,0.3240513126081033,0.2945296108462939,-0.018850743121168707,38,23.528791427612305,0.1210788190364837,0.5294117647058824,True,False
SOX4,0.15697794737839146,0.18590496936274736,0.0051288585172076795,262,8.655673027038574,0.0624831095337867,,False,False
SP100,0.1660461622094183,0.021684712998197665,0.011896539631091793,232,9.274836540222168,0.346924751996994,,False,False
SPESP1,0.1697953352126345,0.38951801522725865,0.019957313581118186,247,8.737686157226562,0.3130982518196106,,False,False
SPINT1,0.22320131405528584,0.032802495706262445,-0.0017294617632627924,228,8.540217399597168,0.281634122133255,,False,False
SSR2,0.5369755272253817,0.13582232142423875,0.09933690877452024,194,10.892936706542969,0.1793573349714279,0.8319327731092436,True,False
ST3GAL6-AS1,0.18145173758460523,0.3169802954107046,0.02497340893983931,258,8.631186485290527,0.1636455357074737,,False,False
ST6GALNAC2,0.21189831353659844,0.15853518423093202,-0.009230437179963266,200,9.497844696044922,0.0097788525745272,0.5,True,False
STAT1,1.0406340136959034,0.9003256655198802,-0.416455350815337,209,16.82400894165039,0.9244171977043152,0.8739495798319328,True,True
STAT3,0.49199810786381737,0.5653574376504577,0.1917647519922507,213,10.614304542541504,0.2192973792552948,0.9117647058823528,True,False
STOM,0.1899481936027373,0.17706236551128504,0.026477642876577428,275,8.6491117477417,0.1943558752536773,,False,False
STX7,0.2245330512409521,0.037377927269242064,-0.010487515811507161,247,9.310327529907228,0.2161841094493866,,False,False
TAPBP,0.8267974548485618,0.022945849618461772,-0.26766430512731365,220,9.688850402832031,0.272418200969696,0.8361344537815125,True,True
TAPBPL,0.16766072021942366,0.533836159876732,0.0605794025092166,245,9.550426483154297,0.2691904902458191,0.9915966386554622,True,False
TFAP2A,0.14904450558574364,0.0766685182114565,-0.006515145634053828,242,9.38054370880127,0.0282438192516565,,False,False
TGFB1,0.12660797440984564,0.32626478214560933,-0.021224426414263402,263,8.347461700439453,0.1589731276035308,,False,False
TIMM50,0.2890245771524631,0.13530744853240423,0.007158306147238669,127,13.057225227355955,0.0908227115869522,0.2184873949579832,True,False
TIMP1,0.1707036721212926,0.42223516663214683,0.033892717152011365,229,9.802408218383787,0.204353928565979,0.7983193277310925,True,False
TIMP2,0.16077676554795697,0.15680952059446887,-0.00503439648738054,189,9.725319862365724,0.1002668738365173,0.7058823529411764,True,False
TIMP3,0.19418800819693144,0.46836118736405474,0.04306549719534899,185,9.437666893005373,0.2535618245601654,0.8949579831932772,True,False
TM4SF1,0.2772736246015104,0.25405554929477,-0.018789620233952142,223,10.405046463012695,0.054167378693819,0.3445378151260504,True,False
TMED10,0.5122469099117328,0.31420451509403863,-0.09934920692088305,66,20.016277313232425,0.0748613625764846,0.5546218487394958,True,False
TMEM173,0.14749483558853604,0.1483997619624434,-0.0011885793546475194,216,9.157398223876951,0.1122157871723175,,False,False
TOP1MT,0.22174488193265332,0.2832157476740187,0.024557852683788777,201,11.718205451965332,0.2365249097347259,0.4663865546218487,True,False
TP53,0.12844212544194877,0.13602325351063785,-0.000913324116958029,221,9.103888511657717,0.0022396075073629,,False,False
TPP1,0.11992665477350045,0.05058074180853295,-0.015543279269197777,218,8.70814037322998,0.1320409923791885,,False,False
TPRKB,0.5104738930762558,0.33269914091829655,-0.1403966595325081,50,18.8471622467041,0.016357421875,0.4369747899159664,True,False
TRIM22,0.2257990236694614,0.13479379686752713,-0.023170936131369963,178,10.378462791442873,0.1917497813701629,0.865546218487395,True,False
TSC22D3,0.18174615795240165,0.2945696843306345,0.018514719962883158,239,8.537908554077148,0.3599806427955627,,False,False
