gene,magnitude,S,R,n_de,base_expr,n_cells,n_wells,detectable,S_resid,R_resid,C
LINC00518,7.700250148773193,0.015359199605882168,0.36240076348972944,0,0.0004501506336964667,276,3,False,,,
LRPAP1,8.123479843139648,0.14717140793800354,0.47235449671956703,1,4.379056453704834,265,3,False,,,
LRRC75A-AS1,9.911280632019043,0.10309737920761108,0.3838555970405979,0,0.7160598635673523,170,3,True,1.6757869249394588,20.220338983050823,0.5966386554621849
LY96,7.86627197265625,0.20184649527072906,0.44856819240250845,0,0.11512774229049683,263,3,False,,,
MC1R,8.778883934020996,0.16760890185832977,0.3989869070991748,0,0.11320237815380096,242,3,False,,,
MDH2,9.599652290344238,0.05322664976119995,0.5327410550032573,2,4.831197738647461,195,3,True,-26.65325452214786,68.0299102691924,0.6428571428571428
MFGE8,8.14459228515625,0.17696072161197662,0.16685331951647475,0,1.009393572807312,328,3,False,,,
MIA,8.581835746765137,0.031593695282936096,0.43408193116986515,0,0.06417351216077805,250,3,False,,,
MRPL47,11.147263526916504,0.13072675466537476,0.4662267152999169,3,4.424527168273926,130,3,True,13.66773963822817,44.20239282153537,0.7605042016806722
MT2A,11.00684928894043,0.004310648888349533,0.14492478735951433,0,7.111672401428223,179,3,True,-54.998390542657745,-26.196410767696932,0.14705882352941177
MYC,18.33380699157715,0.25987619161605835,0.5186104763713689,1,2.0505740642547607,61,3,True,38.32099416037602,36.172482552342956,0.8235294117647058
NACA,22.55556869506836,0.20696072280406952,0.43230387361231337,3,7.492253303527832,37,2,True,32.31938470303376,16.36889332003986,0.7142857142857143
NCL,15.345427513122559,0.17262208461761475,0.36850698944049204,0,6.839737892150879,55,3,True,23.1572781655035,-5.520937188434715,0.6092436974789915
NDUFA13,11.40292739868164,0.153452530503273,0.41776548870924546,0,3.7024006843566895,119,3,True,20.499195271328873,25.098205383848438,0.7142857142857143
