gene,out_degree,in_degree,pagerank,hub,two_hop_reach,reach_ratio
FUZ,1.0,9.0,4.969963764180117e-05,1.6637670218792386e-06,0,0.0
FXN,0.0,74.0,7.495691838367747e-05,-0.0,0,0.0
FXR1,0.0,26.0,5.076549924730186e-05,-0.0,0,0.0
FXR2,3.0,15.0,9.915707994549337e-05,5.386847002641149e-06,23,5.75
FXYD1,0.0,9.0,4.9766645664306604e-05,-0.0,0,0.0
FXYD2,0.0,14.0,0.00016266180129032576,-0.0,0,0.0
FXYD5,0.0,134.0,0.0002763697588249009,-0.0,0,0.0
FXYD7,2.0,2.0,4.6952671252544624e-05,1.1442246840852694e-05,8,2.6666666666666665
FYB1,0.0,169.0,0.0001020874330796371,-0.0,0,0.0
FYCO1,1.0,36.0,5.451243725765212e-05,1.5452017222019627e-06,12,6.0
FYN,1.0,93.0,9.469990062967821e-05,1.8062232492126513e-06,0,0.0
FYTTD1,1.0,44.0,0.00012257833028994202,1.410455614349285e-06,1,0.5
FZD3,1.0,30.0,6.133790624820689e-05,1.439839390093216e-06,7,3.5
FZD6,60.0,38.0,0.0001765857359875649,0.00021219936127941715,675,11.065573770491802
FZR1,4.0,34.0,8.395241680898136e-05,2.112893480349428e-05,7,1.4
G0S2,6.0,86.0,0.000615767546460186,1.8084286275477135e-05,62,8.857142857142858
G2E3,1.0,13.0,6.246716563065562e-05,2.276958196850155e-07,2,1.0
G3BP2,2.0,73.0,0.0001330888448100047,2.2809656355596476e-06,10,3.3333333333333335
G6PC3,2.0,18.0,5.0169040632346914e-05,4.975549279687284e-06,3,1.0
G6PD,5.0,65.0,0.00015902818438988145,5.991826395394396e-06,46,7.666666666666667
GAA,0.0,22.0,5.1874276955142087e-05,-0.0,0,0.0
GAB2,17.0,75.0,0.0001222494868547458,5.6695972025557705e-05,45,2.5
GAB3,2.0,65.0,7.713267505934116e-05,3.82231715832667e-06,3,1.0
GABARAP,0.0,111.0,9.14929239069844e-05,-0.0,0,0.0
GABARAPL1,1.0,12.0,5.189145058496935e-05,5.81177847246897e-07,120,60.0
GABBR1,0.0,37.0,7.80116370227399e-05,-0.0,0,0.0
GABPA,11.0,25.0,5.936666042030945e-05,2.6936774707181047e-05,627,52.25
GABPB1,424.0,61.0,8.607534044270895e-05,0.0010024737384972465,7362,17.322352941176472
GABPB2,1.0,28.0,0.0001633681984267394,4.2650933139248726e-06,2,1.0
GAD1,0.0,22.0,5.35647774674994e-05,-0.0,0,0.0
GADD45A,1.0,97.0,0.0001633447806023191,1.7649670722279539e-07,0,0.0
GADD45B,0.0,14.0,0.00021959464814130954,-0.0,0,0.0
GADD45G,33.0,42.0,0.0006965486453779159,0.00010745674024725451,2583,75.97058823529412
GADD45GIP1,268.0,56.0,0.00012948616794485293,0.0009847578790099449,5402,20.0817843866171
GAL3ST4,2.0,7.0,4.772068813784007e-05,3.5182704233667265e-06,96,32.0
GALC,1.0,30.0,5.774734820981196e-05,3.5722530430334867e-06,0,0.0
GALE,0.0,39.0,8.18411748390998e-05,-0.0,0,0.0
GALK1,1.0,25.0,9.650856772315975e-05,1.8224876032980622e-06,1,0.5
GALK2,1.0,24.0,9.483737821521711e-05,1.8012908253388363e-06,1,0.5
GALM,0.0,83.0,8.615680457850242e-05,-0.0,0,0.0
GALNS,2.0,35.0,6.868569662246707e-05,2.020614821874389e-06,7,2.3333333333333335
GALNT10,0.0,59.0,9.9868891796517e-05,-0.0,0,0.0
GALNT11,1.0,19.0,7.335917041476645e-05,1.2875015431632814e-06,0,0.0
GALNT12,2.0,21.0,5.726000758193692e-05,4.822729198446647e-06,2,0.6666666666666666
GALNT18,1.0,12.0,4.974272497519309e-05,4.258626951991393e-06,324,162.0
GALNT2,2.0,44.0,5.7830375997019876e-05,2.4366877075100145e-06,1,0.3333333333333333
GALNT3,0.0,41.0,6.458182764437548e-05,-0.0,0,0.0
GALNT4,5.0,23.0,5.759860929144563e-05,7.866015509752662e-06,217,36.166666666666664
GALNT6,143.0,20.0,4.9975395810896884e-05,0.000560774102745146,4993,34.673611111111114
GALNT7,2.0,9.0,7.880914319489409e-05,2.084506227457578e-06,3,1.0
GALR2,0.0,2.0,4.702961196922461e-05,-0.0,0,0.0
GALT,3.0,17.0,7.384553250770413e-05,4.696519798791735e-06,0,0.0
GAMT,0.0,53.0,7.04101589961209e-05,-0.0,0,0.0
GAN,0.0,21.0,8.264209851445599e-05,-0.0,0,0.0
GANAB,9.0,26.0,5.019252128831045e-05,1.8822006248047537e-05,64,6.4
GANC,1.0,13.0,0.0001105166891286221,1.1241514069940113e-06,2,1.0
GAPVD1,3.0,9.0,0.001580874114916978,5.284426122446446e-06,1,0.25
GAREM2,5.0,15.0,5.2024424349490654e-05,6.539099536359283e-06,30,5.0
GARIN1A,19.0,5.0,5.184802677220589e-05,6.154072797353178e-05,250,12.5
GARRE1,4.0,31.0,9.456372202833877e-05,1.395629984376571e-05,9,1.8
GARS1,35.0,87.0,6.29569449006758e-05,0.0001494009792599105,1662,46.166666666666664
GART,34.0,110.0,7.985435117215833e-05,0.0001307191546597262,388,11.085714285714285
GAS2,0.0,0.0,4.6695034035877875e-05,-0.0,0,0.0
GAS2L1,238.0,5.0,4.725019946987255e-05,0.0008447148779518048,7019,29.368200836820083
GAS8,0.0,26.0,7.698024951494612e-05,-0.0,0,0.0
GATA3,837.0,100.0,9.836002978922184e-05,0.00214438162214084,7976,9.517899761336515
GATAD1,58.0,19.0,0.00011570071709139366,0.00011733137943091302,1586,26.88135593220339
GATAD2A,0.0,39.0,0.0001052331949242685,-0.0,0,0.0
GATAD2B,6.0,52.0,0.0001524110477126712,1.7379568284833173e-05,21,3.0
GATB,136.0,19.0,7.879734880656515e-05,0.0004674261321619349,3930,28.686131386861312
GATC,0.0,10.0,0.0002651047511236574,-0.0,0,0.0
GATD1,0.0,19.0,6.852781358409593e-05,-0.0,0,0.0
GBA1,0.0,42.0,5.910459394802516e-05,-0.0,0,0.0
GBA2,39.0,14.0,5.148113401789818e-05,9.625816563777898e-05,2264,56.6
GBE1,0.0,102.0,0.0001603139010128153,-0.0,0,0.0
GBGT1,0.0,7.0,4.791748068680686e-05,-0.0,0,0.0
GBP1,2.0,67.0,8.05536839877602e-05,2.2328215673508254e-06,6,2.0
GBP2,0.0,179.0,0.00016388404705019308,-0.0,0,0.0
GBP3,1.0,41.0,5.263776563411579e-05,3.1278809057404506e-06,1,0.5
GBP4,0.0,134.0,0.0001530638308680709,-0.0,0,0.0
GBP5,3.0,164.0,0.00014919381102081227,9.055309478794771e-06,91,22.75
GCA,0.0,39.0,0.0006455147965927432,-0.0,0,0.0
GCAT,1.0,14.0,5.038376250736963e-05,3.309116601080194e-06,1,0.5
GCC1,5.0,14.0,0.0001251973414657375,1.540662702672298e-05,30,5.0
GCC2,0.0,30.0,0.00015062928249397997,-0.0,0,0.0
GCDH,0.0,9.0,5.1512609493881666e-05,-0.0,0,0.0
GCFC2,6.0,21.0,4.830573498785787e-05,1.628396597728436e-05,7,1.0
GCH1,2.0,10.0,6.273413094428901e-05,5.150348455209038e-06,0,0.0
GCHFR,0.0,56.0,0.00012332287448999898,-0.0,0,0.0
GCLC,3.0,26.0,5.107421541598781e-05,1.6546370156300627e-05,97,24.25
GCLM,1.0,122.0,0.000135179183171537,2.594185512541878e-06,15,7.5
GCN1,130.0,35.0,6.888581586988316e-05,0.000308497459434271,4952,37.80152671755725
GCNA,1.0,27.0,0.00020890854625419493,1.1764328909035946e-06,2,1.0
GCNT1,5.0,28.0,5.498031149590424e-05,1.1368546445515194e-05,44,7.333333333333333
GCNT4,0.0,17.0,5.080706299120313e-05,-0.0,0,0.0
GCSAM,0.0,88.0,0.00011955980421894072,-0.0,0,0.0
GDAP1,26.0,27.0,5.718710002263197e-05,6.108392643808525e-05,84,3.111111111111111
GDAP2,655.0,11.0,6.48007188139698e-05,0.0021918781791462564,7216,11.0
GDE1,1.0,42.0,0.00017694732152566433,3.401514057142785e-06,10,5.0
GDF11,104.0,87.0,7.589704243059838e-05,0.00034027914269236495,3651,34.77142857142857
GDF9,30.0,3.0,4.676874287910131e-05,8.778258531131087e-05,857,27.64516129032258
GDI1,12.0,102.0,0.00019029155269258054,3.2088242920142235e-05,104,8.0
GDI2,0.0,3.0,4.701908516431445e-05,-0.0,0,0.0
GDPD1,0.0,2.0,4.673296592456092e-05,-0.0,0,0.0
GDPD3,0.0,16.0,0.00016606789692016712,-0.0,0,0.0
GDPD5,3.0,31.0,5.4469463637680944e-05,3.954051248151638e-06,39,9.75
GDPGP1,1.0,6.0,4.705013649819498e-05,1.5024835803021034e-06,7,3.5
GEM,0.0,42.0,0.0009450593154086044,-0.0,0,0.0
GEMIN6,0.0,52.0,6.702914348105215e-05,-0.0,0,0.0
GEMIN7,1.0,28.0,0.00014652849750524101,7.962985898799284e-07,0,0.0
GEN1,4.0,23.0,5.134642029394424e-05,5.54048490105425e-06,6,1.2
GET1,0.0,22.0,6.64622212616796e-05,-0.0,0,0.0
GET3,19.0,38.0,7.746424747595435e-05,5.723530825316305e-05,790,39.5
GFER,6.0,13.0,5.0692740374534496e-05,1.7129397372317378e-05,16,2.2857142857142856
GFI1,0.0,53.0,8.727915380360359e-05,-0.0,0,0.0
GFM1,5.0,64.0,5.942698548973251e-05,1.0963804896573847e-05,37,6.166666666666667
GFM2,24.0,12.0,6.263476549902574e-05,6.248264939687367e-05,129,5.16
GFOD1,0.0,26.0,5.1681421566887907e-05,-0.0,0,0.0
GFOD2,0.0,12.0,5.5976873294505945e-05,-0.0,0,0.0
GFUS,0.0,92.0,0.00022656685403209828,-0.0,0,0.0
GGA1,1.0,11.0,6.600829348427008e-05,1.1419402903298574e-06,1,0.5
GGA2,2.0,77.0,0.00017313640531667928,4.395186699117587e-06,2,0.6666666666666666
GGA3,63.0,13.0,5.3992076642255504e-05,0.00023812742280445606,3593,56.140625
GGACT,1.0,15.0,5.871227998829176e-05,4.720100790981257e-06,1,0.5
GGCT,1.0,87.0,0.00012140069293876761,3.5776115382465065e-06,0,0.0
GGCX,1.0,5.0,5.6658963467342974e-05,8.975745511963702e-07,0,0.0
GGH,2.0,66.0,6.932139837528814e-05,5.491725677504403e-06,1,0.3333333333333333
GGNBP2,2.0,36.0,7.359634391529771e-05,3.549212561491966e-06,5,1.6666666666666667
GGT7,7.0,22.0,0.00023679395570703652,1.519711112581242e-05,41,5.125
GHDC,2.0,10.0,4.867348237003566e-05,5.20151202473364e-06,56,18.666666666666668
GHITM,3.0,88.0,0.00010444555521726804,1.0367414660946538e-05,24,6.0
GID4,0.0,10.0,4.989218179865962e-05,-0.0,0,0.0
GID8,7.0,17.0,5.768625275609904e-05,1.0845640045356052e-05,1149,143.625
GIGYF2,159.0,8.0,5.3077729973164916e-05,0.00038099228275419595,3055,19.09375
GIMAP2,0.0,151.0,0.00016290567987237682,-0.0,0,0.0
GIMAP4,2.0,135.0,9.707272984183494e-05,6.1056392741720345e-06,18,6.0
GIMAP5,0.0,65.0,6.015714866497016e-05,-0.0,0,0.0
GIMAP6,0.0,58.0,5.5332696059466574e-05,-0.0,0,0.0
GIMAP7,1.0,121.0,0.00012201968970656601,2.4189087526515694e-07,0,0.0
GIMAP8,0.0,53.0,5.8066920386960937e-05,-0.0,0,0.0
GIN1,3.0,12.0,7.292301542275896e-05,1.3737269277593661e-06,11,2.75
GINM1,0.0,26.0,8.781840878975954e-05,-0.0,0,0.0
GINS2,0.0,76.0,0.00017950132770370674,-0.0,0,0.0
GIPC1,0.0,27.0,5.9335317800412634e-05,-0.0,0,0.0
GIPR,1.0,14.0,6.186268144548537e-05,8.040417816437941e-07,1,0.5
GIT1,0.0,17.0,5.1841312557251626e-05,-0.0,0,0.0
GIT2,18.0,37.0,6.223331093700725e-05,4.559064214905085e-05,885,46.578947368421055
GJB2,1.0,19.0,6.625790737753385e-05,3.065581377102746e-07,1,0.5
GJB6,1.0,14.0,5.069403739714042e-05,1.940386843756206e-06,60,30.0
GJC1,84.0,18.0,5.6907969868602567e-05,0.0002387923814172749,1504,17.694117647058825
GK5,1.0,21.0,6.178458302773663e-05,2.3323001284209827e-06,11,5.5
GKAP1,3.0,24.0,5.90225927114249e-05,8.037622090752165e-06,938,234.5
GLA,3.0,18.0,8.147559692317236e-05,5.868499231816449e-06,3,0.75
GLB1,0.0,27.0,6.10608283130431e-05,-0.0,0,0.0
GLB1L,1.0,8.0,4.788636302511585e-05,1.425553189240435e-06,159,79.5
GLB1L2,1.0,10.0,5.283962540584833e-05,4.924764103260664e-06,3,1.5
GLB1L3,1.0,28.0,5.502057173233707e-05,2.4188164407698576e-06,4,2.0
GLCCI1,0.0,65.0,7.33669588040862e-05,-0.0,0,0.0
GLCE,0.0,8.0,5.071291746274486e-05,-0.0,0,0.0
GLDC,0.0,31.0,0.00020976103498354784,-0.0,0,0.0
GLG1,0.0,64.0,9.036476935855479e-05,-0.0,0,0.0
GLI1,4.0,2.0,6.980418548300122e-05,1.0900872727181627e-05,16,3.2
GLI4,3.0,7.0,4.873547384180897e-05,2.4141291786200383e-06,8,2.0
GLIPR1,1.0,49.0,7.242481554946455e-05,5.725564819514218e-07,1,0.5
GLIPR2,91.0,68.0,8.562708192315322e-05,0.00025223444028459757,1614,17.543478260869566
GLMN,1.0,30.0,5.8353068141974256e-05,2.690958853274207e-06,0,0.0
GLMP,0.0,19.0,5.6082214954259446e-05,-0.0,0,0.0
GLO1,0.0,62.0,0.00014766096792538216,-0.0,0,0.0
GLOD4,1.0,4.0,4.755889688665516e-05,3.4760120514280165e-07,0,0.0
GLRX,1.0,41.0,0.00012707208853370862,8.27089254913306e-07,0,0.0
GLRX2,0.0,42.0,7.450357485309361e-05,-0.0,0,0.0
GLRX3,10.0,102.0,7.397572869349166e-05,3.060647211393533e-05,31,2.8181818181818183
GLRX5,0.0,68.0,8.645749609852922e-05,-0.0,0,0.0
GLS,25.0,56.0,6.730929031172949e-05,5.6495818338117885e-05,246,9.461538461538462
GLS2,0.0,15.0,5.5512551629362604e-05,-0.0,0,0.0
GLT8D1,3.0,17.0,5.21446299889955e-05,4.231687493770686e-06,257,64.25
GLTP,4.0,27.0,5.210065254261696e-05,7.917471466508682e-06,75,15.0
GLUD1,1.0,63.0,0.00030856317798758575,3.9664634569615624e-06,3,1.5
GLUL,10.0,123.0,0.0008753218167366096,2.9630299662444424e-05,380,34.54545454545455
GLYCTK,1.0,44.0,6.452175350491471e-05,6.561311568321324e-08,1,0.5
GLYR1,11.0,19.0,5.194953209349977e-05,1.4971050754982119e-05,363,30.25
GM2A,1.0,27.0,5.1414496905974544e-05,2.1874308205409652e-06,33,16.5
GMCL1,0.0,20.0,5.006094196635886e-05,-0.0,0,0.0
GMDS,0.0,42.0,0.00013409045301775147,-0.0,0,0.0
GMEB1,299.0,15.0,6.939008953890918e-05,0.0005280676813899426,6018,20.06
GMEB2,0.0,15.0,0.00016178583919097806,-0.0,0,0.0
GMFB,2.0,28.0,6.314772925934276e-05,2.9078766021750484e-06,2,0.6666666666666666
GMFG,0.0,80.0,7.862599118023628e-05,-0.0,0,0.0
GMNN,0.0,99.0,8.450433131531603e-05,-0.0,0,0.0
GMPPA,0.0,30.0,0.00011602742171879697,-0.0,0,0.0
GMPR,0.0,33.0,5.1181730045733206e-05,-0.0,0,0.0
GMPR2,5.0,14.0,0.00015708518652253023,1.5064190990521362e-05,17,2.8333333333333335
GNA12,0.0,4.0,4.698725936139735e-05,-0.0,0,0.0
GNA13,26.0,35.0,9.331013692545859e-05,5.995209113483211e-05,922,34.148148148148145
GNA15,2.0,76.0,0.00015418998077378594,5.5570423296346e-06,60,20.0
GNAI1,1.0,20.0,5.244789624394448e-05,2.4859644767243486e-06,0,0.0
GNAI2,0.0,35.0,0.000136757401690226,-0.0,0,0.0
GNAI3,8.0,48.0,0.0001654408876422882,2.0706315883122026e-05,12,1.3333333333333333
GNAO1,1.0,5.0,5.3403306127260074e-05,3.646572112068664e-07,23,11.5
GNAQ,1.0,33.0,6.621934808189076e-05,6.473944127137588e-07,0,0.0
GNAZ,52.0,1.0,4.671715717027165e-05,0.00014314135993802698,1341,25.30188679245283
GNB1,10.0,41.0,0.00011737303271342503,3.110844521880595e-05,7,0.6363636363636364
GNB1L,3.0,12.0,4.885447496025367e-05,1.1407114035606144e-05,1,0.25
GNB2,0.0,92.0,0.00013276531698915193,-0.0,0,0.0
GNB4,1.0,39.0,0.00011423498656543718,1.4855050033280002e-06,0,0.0
GNB5,2.0,48.0,0.00015873441293015277,4.897283338099191e-06,1106,368.6666666666667
GNE,135.0,25.0,5.122402544167751e-05,0.0004106902185723342,4424,32.529411764705884
GNG10,0.0,87.0,0.0001186181653451429,-0.0,0,0.0
GNG2,2.0,108.0,9.137329514203427e-05,5.877527038486534e-06,9,3.0
GNG4,2.0,64.0,0.0004239914179622513,5.185785989418745e-06,12,4.0
GNG5,24.0,14.0,5.120013982414192e-05,9.88034867367076e-05,1963,78.52
GNG8,0.0,109.0,0.0002056932837196822,-0.0,0,0.0
GNGT2,1.0,56.0,0.0009231907786221874,2.551486394157209e-06,1,0.5
GNL1,2.0,33.0,0.00010804210551303744,3.96851758685703e-06,6,2.0
GNLY,3.0,146.0,0.0007173187586793946,3.1099130076320098e-06,1,0.25
GNMT,11.0,2.0,4.712473325539972e-05,1.668790002399832e-05,87,7.25
GNPAT,0.0,32.0,7.448282185989804e-05,-0.0,0,0.0
GNPDA1,0.0,61.0,0.00018119708450927154,-0.0,0,0.0
GNPDA2,0.0,18.0,0.00010778441463882139,-0.0,0,0.0
GNPNAT1,0.0,78.0,6.546755709265495e-05,-0.0,0,0.0
GNPTAB,6.0,102.0,0.00021365971930935245,1.5533314863697373e-05,33,4.714285714285714
GNPTG,2.0,42.0,5.6923766157412324e-05,3.3081838108322877e-06,3,1.0
GNRH2,1.0,62.0,0.004003264304524937,2.108346508595862e-06,0,0.0
GNS,27.0,49.0,8.162636289092839e-05,7.604112346473743e-05,1288,46.0
GOLGA1,0.0,12.0,4.836576133276711e-05,-0.0,0,0.0
GOLGA2,2.0,37.0,0.0001965986060523874,1.6910645272730211e-06,2,0.6666666666666666
GOLGA3,1.0,38.0,7.689000918317284e-05,2.1397036483429002e-06,2,1.0
GOLGA5,7.0,25.0,5.938925040419329e-05,1.1415459316504373e-05,35,4.375
GOLGA7,2.0,21.0,5.180620395907745e-05,1.4088019376204767e-06,2,0.6666666666666666
GOLGA7B,0.0,63.0,0.0001460398329372392,-0.0,0,0.0
GOLGA8B,0.0,86.0,0.00010229358905782478,-0.0,0,0.0
GOLGB1,0.0,43.0,7.460361505443405e-05,-0.0,0,0.0
GOLIM4,4.0,24.0,4.959092668293818e-05,1.0573574499877185e-05,8,1.6
GOLM1,1.0,54.0,7.790305942557833e-05,1.1518597938204813e-06,6,3.0
GOLM2,0.0,81.0,8.189439178459679e-05,-0.0,0,0.0
GOLPH3,0.0,46.0,0.00017811426848808072,-0.0,0,0.0
GOLPH3L,0.0,36.0,0.00012860887603108808,-0.0,0,0.0
