gene,board_category,family,class,intervention_direction,penalty_flags,druggability_tier,n_chembl_drugs,chembl_moa,translation_triage_score,ISCI_primary_rank,known_regulator,robust_reverser
CDC25B,D_dangerous_rheostat,reverser,engineering_candidate,transient_inhibition,broadly-essential,chembl_target,0,,0.729,,False,True
CNOT9,D_dangerous_rheostat,reverser,reverser_only,transient_inhibition,broadly-essential,chembl_target,0,,0.628,,False,True
RFT1,D_dangerous_rheostat,reverser,reverser_only,transient_inhibition,broadly-essential,chembl_target,0,,0.628,,False,True
MED13,D_dangerous_rheostat,reverser,manufacturing_modulation,transient_inhibition,broadly-essential,no_chembl_target,0,,0.603,,False,True
CHORDC1,D_dangerous_rheostat,reverser,reverser_only,transient_inhibition,broadly-essential,no_chembl_target,0,,0.502,,False,True
MAU2,D_dangerous_rheostat,reverser,reverser_only,transient_inhibition,broadly-essential,no_chembl_target,0,,0.502,,False,True
PTPRC,D_dangerous_rheostat,NF-kB/TCR,engineering_candidate,transient_inhibition,TCR/signaling-proximal,clinical_drug,2,Leukocyte common antigen binding agent,0.499,30.0,False,False
IL2RB,D_dangerous_rheostat,IFN/Th1,engineering_candidate,transient_inhibition,TCR/signaling-proximal,clinical_drug,2,Interleukin-2 receptor beta chain inhibitor,0.438,35.0,False,False
PPM1D,D_dangerous_rheostat,apoptosis/survival,engineering_candidate,transient_inhibition,broadly-essential,chembl_target,0,,0.416,19.0,False,False
IRF1,D_dangerous_rheostat,IFN/Th1,toxicity_risk,titratable,tumor-suppressor(KD-oncogenic-risk),no_chembl_target,0,,0.361,1.0,True,False
RBCK1,D_dangerous_rheostat,NF-kB/TCR,engineering_candidate,transient_inhibition,TCR/signaling-proximal,no_chembl_target,0,,0.21,20.0,False,False
WDR82,D_dangerous_rheostat,chromatin/tx,manufacturing_modulation,transient_inhibition,broadly-essential,chembl_target,0,,0.202,41.0,False,False
DDA1,D_dangerous_rheostat,other,probe_only,transient_inhibition,broadly-essential,no_chembl_target,0,,0.162,23.0,False,False
CD3E,D_dangerous_rheostat,NF-kB/TCR,avoid_permanent_TCR_shutdown,avoid,TCR/signaling-proximal,clinical_drug,7,T-cell surface glycoprotein CD3 epsilon chain binding agent; T-cell surface glycoprotein CD3 epsilon chain cross-linking agent; T-cell surface glycoprotein CD3 epsilon chain inhibitor,0.15,40.0,False,False
CD3D,D_dangerous_rheostat,NF-kB/TCR,avoid_permanent_TCR_shutdown,avoid,TCR/signaling-proximal,no_chembl_target,0,,0.15,17.0,False,False
UFM1,D_dangerous_rheostat,other,probe_only,transient_inhibition,broadly-essential,chembl_target,0,,0.083,45.0,False,False
PAXIP1,D_dangerous_rheostat,chromatin/tx,manufacturing_modulation,transient_inhibition,broadly-essential,no_chembl_target,0,,0.078,39.0,False,False
CASP3,D_dangerous_rheostat,apoptosis/survival,toxicity_risk,transient_inhibition,broadly-essential; tumor-suppressor(KD-oncogenic-risk),chembl_target,0,,0.0,49.0,False,False
SMG8,D_dangerous_rheostat,RNA/post-tx,probe_only,transient_inhibition,broadly-essential,no_chembl_target,0,,0.0,47.0,False,False
PTEN,D_dangerous_rheostat,Treg/brake,toxicity_risk,KD_harmful_suggests_OE,tumor-suppressor(KD-oncogenic-risk),chembl_target,0,,0.0,43.0,False,False
