gene,ISCI_orthogonal,ISCI_primary_rank,known_regulator,NR_Treg,NR_exhaustion,R_memory_stem,R_migration,R_killing,toxicity_infl,therapeutic_convergence,n_modules_therapeutic
IRF1,0.9509920634920634,1.0,True,0.3799099319171706,-0.9967513988016358,-0.5264418328203913,-0.2371699571615124,-1.064415489675736,0.03348672088090593,-0.20744542227568008,1
IKBKB,0.9488095238095238,2.0,False,0.658226144135966,1.0344773778637253,0.7910566261568597,0.7247551476099289,0.944120098654154,-0.25185611371865657,0.16984741068998466,4
BCLAF1,0.9240079365079366,3.0,False,-0.4810915321778249,0.39783349570798876,1.208425000812866,-0.11974030893332302,0.954041023463537,1.2027070619415028,0.15387944831190223,3
TFAP4,0.922420634920635,4.0,False,-0.19568445308651247,-0.24366876706458374,0.12608957320215616,-0.053124516153275674,1.048706994096387,-1.3719323463255844,0.48882626960365805,5
CYB561D2,0.9166666666666669,5.0,False,-0.7996306931354491,-1.0214629979075183,0.11312723275561382,-0.15920010055148728,-1.7556282983480154,0.9771135447735113,-0.15962016997907214,3
PDCD5,0.9132936507936508,6.0,False,0.7385230929772153,1.0002090848000784,-0.1669837441029204,0.47824944093496075,1.4799547470267134,-1.1790763758807294,0.2052607736603649,3
ZC3H12A,0.9077380952380952,7.0,False,-2.250585700710816,-2.052614628782751,-1.0473423126009849,-0.22670753950700714,-2.504764661038734,-0.22098836814393163,0.12422903074846209,3
STAT6,0.9061507936507937,8.0,True,1.3527535773693684,1.2213611465272887,0.21559146789166458,-0.4671055365856068,2.9183485178610913,0.4657749793663409,-0.0621758756826415,2
RCOR1,0.9031746031746032,9.0,False,-0.3729572051989636,-0.24527800648832332,2.961498303969634,1.9655494338567905,-0.743852332801244,-0.6079337719190008,0.9015607314385781,5
PRKDC,0.9023809523809524,10.0,False,0.6561331421319345,0.7454622043356314,-0.25258389643263046,0.3108646534230979,2.386511246022508,-1.5362052108398536,0.42990031123087724,3
SETDB1,0.8994047619047619,11.0,True,-0.261563004998479,0.5114658472306791,0.04661868006249317,-0.4132557390525601,1.1427321857836092,0.3671710759983894,0.026503534760492147,3
TWF1,0.8956349206349207,12.0,False,-0.8558143235019463,-1.463492277863421,0.053747527637904066,0.008770493273199611,-1.8793190419763464,-0.192589767080117,0.11584922456337358,5
HEXIM1,0.8928571428571429,13.0,False,0.8140921595261073,1.9668975380748277,1.871765524032137,-0.6321608617083133,2.441019062849589,0.19243930788503227,0.11786578661457424,2
GATA3,0.8793650793650793,14.0,True,-4.902759123353495,-1.8600945206033643,2.8100242581273185,2.0128435748311957,-0.7753414591982258,0.5921840595922945,1.7030326596874754,4
SAMD1,0.8791666666666667,15.0,False,0.2231686793937137,1.2445288938363828,-0.13563196509737815,-0.9311072177945554,1.0718926473821024,-0.09363365684528574,-0.2281517419824403,2
MORF4L1,0.8775793650793651,16.0,False,-0.40903466611899103,-0.14815557118934078,-0.8279796977538442,-0.604391313704185,0.68892375699653,0.09334636046381908,-0.0466005629361644,3
CD3D,0.8767857142857143,17.0,False,-1.3413237773874036,1.140467212480375,2.781448506872921,1.4763407354317681,1.4401294822359576,-2.0275290352445747,1.3210507207820417,5
DDIT4,0.8742063492063492,18.0,False,-0.7154522998422185,-0.23225498696853944,0.0925677823043198,-0.2220103116489427,-1.117359326808003,0.33306518003326663,-0.10535995822918909,3
PPM1D,0.8738095238095238,19.0,False,0.46496838328608137,0.4102445424098458,-0.6447005564328794,0.04089816384265778,0.9864951154104373,-0.6190825958963564,0.021093732170107488,3
RBCK1,0.8724206349206349,20.0,False,-0.9225534915867133,0.07432926448694743,0.39979470711805976,0.6711727924577825,-0.14949524436970194,-3.9958320131714062,0.9609214159128854,4
KDM1A,0.8718253968253968,21.0,False,-0.5071848211560649,-0.27214985739503467,5.837644420039957,3.0855631821197815,-1.950330601704471,-0.6480514791726025,1.4000438596964948,5
SETD1B,0.8694444444444445,22.0,False,-1.1176736456207486,-1.9884995955351814,-1.167824300618391,-0.3717500848263548,-2.334531414348544,-1.8309344218016346,0.17716697719404575,3
DDA1,0.8686507936507937,23.0,False,-0.04337407879495351,-1.9971732095605919,-0.39625051203641326,-0.03347349870055257,-2.193153058705741,0.39738878748451256,-0.16328642809527896,2
GSTCD,0.8680555555555556,24.0,False,0.9661139100219902,1.627741906672678,-0.4655206406597032,-0.6329967405438063,1.32838922285925,-0.5758648683461738,-0.298019851115459,2
NR4A3,0.8666666666666667,25.0,False,1.1512274950005856,1.5121657472738474,0.49683063728042676,0.5557684665254254,2.395738881592317,-0.2549162988199235,0.17331017365727663,4
ARHGAP30,0.8650793650793651,26.0,False,-0.9136551515226031,-1.0427412657902948,-0.08892659157698556,-0.2545457578775747,-2.427171785867452,1.271760194770998,-0.34766798546335204,2
HNRNPA1,0.8626984126984127,27.0,False,0.3959955694363964,0.6610912437144331,0.6418023125249137,0.4986610054880777,0.9589501214472894,0.3606492263634419,0.1136128999910016,3
BRD9,0.8613095238095239,28.0,False,-1.1150349402045012,-0.3095940961943388,-0.7952486228110436,-1.1959052454384325,-1.7597488894767783,-0.7503463740368582,-0.26265455788175934,3
MAP3K5,0.8498015873015873,29.0,False,-0.48373409227837455,0.5705941740366353,0.10955867563078316,0.4352434867570638,0.7938130936834646,-1.0970272612798013,0.3914637392654754,5
CBX5,0.8496031746031746,30.0,False,0.5592855932897586,0.50484090297322,0.29827062750975486,0.5092402467450113,0.8883153742881994,0.5954044970280812,0.006049209208650985,3
PTPRC,0.8496031746031746,30.0,False,1.5765074787079414,2.1573434469878445,0.2934184812674357,0.8206689498734051,4.019407007562435,-0.09757416067740565,0.24953627894748265,4
MYO9A,0.8462301587301587,32.0,False,0.9941776566185785,1.366888669251865,-0.03724298815860755,0.060427310950748936,1.244034734797804,-1.0949642453322346,0.00018616284195608715,3
OSR1,0.8446428571428571,33.0,False,0.3785389146420375,0.3906532414225847,-0.2621661082643857,0.15776171312358447,0.9455460283137326,-0.43104903471347483,0.08383308530363066,3
CTBP1,0.839484126984127,34.0,False,0.29293504503070045,-0.06986881551346606,2.352642890987686,0.5024565747606724,-1.550332496409915,0.5676714002962715,0.08567155658748964,3
IL2RB,0.8374999999999999,35.0,False,-4.510895546765279,-0.412012724373263,1.757617751131134,1.205348210264376,-1.8593825223057976,-1.7513788484306372,1.296311759776482,5
HNRNPD,0.8347222222222221,36.0,False,-2.0760252226736604,-1.745943235317684,0.17782259661199856,0.07587555493435731,-1.3338954683475386,-0.08989945152150364,0.4719450987852776,5
ZNF785,0.833531746031746,37.0,False,-1.1230195272703563,-0.9912413591291362,0.1300083371754121,-0.629337108579941,-1.274249346166121,0.7630455204070888,-0.07039379192970772,3
BLZF1,0.8321428571428571,38.0,False,-0.16374108563116657,-0.11587910585876926,0.4772854269014322,-0.4713272468465942,0.5281561976888962,-0.06636401033959774,0.14668309659554465,5
PAXIP1,0.8319444444444444,39.0,False,-1.7240641940801125,-1.3244083627366565,1.1253616608220518,-1.2811204532442224,-2.834428990556899,0.8747930178941411,-0.1360847073427403,3
CD3E,0.8317460317460318,40.0,False,-1.4417665555534138,0.08679527359148542,2.7559169125884573,1.3774535294344616,0.6450978339432064,-1.0905736686406433,1.2040022044281165,5
INPP5D,0.831547619047619,41.0,False,1.3547222450060972,1.5152477759941674,0.6361836377188117,0.8038492053204013,2.75061080544449,1.185298878357791,0.022562458187608086,3
WDR82,0.831547619047619,41.0,False,-0.9646475998683725,0.009348343826148945,0.17408095806974577,2.4849159802211735,-0.9697139030895235,-2.769191828043671,0.9022956865478817,4
PTEN,0.8301587301587301,43.0,False,0.31435038238210605,0.2264778830409644,-0.8661900883834859,-0.46160752659884824,0.9574099851095381,-0.26527336002163665,-0.10765708921237165,2
USP22,0.829563492063492,44.0,False,-1.0353465030206077,-0.9894280574976909,0.964050382644668,0.16375795536775176,0.22671045768109885,-3.7475723580680778,1.1878109523799825,6
UFM1,0.8279761904761904,45.0,False,-0.5319831488070712,-2.1775942626531246,0.26849631213169056,-0.30224691830055245,-2.149730196892902,-1.8495557227082686,0.39594205518445014,4
PPHLN1,0.8271825396825396,46.0,False,-0.07645547031709078,0.449366930592422,0.8144916000420692,0.5577627744891777,-0.6966684078530884,-0.608493147671175,0.15186127567900035,4
SMG8,0.825595238095238,47.0,False,0.7697564179999751,1.1705973946953303,0.6720107254139641,-0.5579732591800832,0.3564927001445979,-0.5088490448451088,-0.16016243357861962,3
PHF8,0.8246031746031746,48.0,False,-1.0131250306875066,-0.5870897162899752,0.49665076644923295,-0.33049238989371127,-1.8818111720831225,0.6888655257356419,-0.13405059571429348,3
CASP3,0.8236111111111111,49.0,False,-0.19731649297207993,0.5629721733080884,0.5708908962765786,-0.14852036621443634,-0.0042587040544447285,-0.755523476366933,0.13466327033977035,3
KLF13,0.8222222222222222,50.0,False,-1.0510941424191214,-1.1654121927119618,0.006024929371852242,0.4317976311472468,-1.778289242758409,0.20972615103699013,0.11105225030913053,4
ZRANB2,0.8222222222222222,50.0,False,1.3234317557831818,1.4097278166465799,-0.18155164308294766,-0.632031056397644,0.6972934420740461,-1.1519853762174252,-0.282910575603147,2
PLCG1,0.8202380952380952,52.0,False,-3.184420230698524,-1.4877653848682069,2.874595967286269,2.0350946823783818,1.452050068041525,-2.3148501655352196,2.2247960831346876,6
IL4R,0.8198412698412698,53.0,True,-0.6440972011156186,0.10728267813893815,0.40778389542980864,-0.5216499514151852,3.387383581569973,1.9847180551590151,0.304268998900377,3
TBX22,0.8198412698412698,53.0,False,0.15841886324052604,1.3950519776048171,0.6464498342193817,0.011963255313483622,1.1401626573920078,-1.3311283308164992,0.2627055394826715,4
COQ6,0.8192460317460317,55.0,False,0.02929686860343505,-0.051082674539899724,0.9980708429525809,0.29742437722255133,0.801000677390593,-0.4395007697559105,0.42629707887635004,5
MLST8,0.8188492063492063,56.0,False,-0.6824969501152174,-0.8611021655128468,1.308534288881896,0.48664819727935466,-2.2467354433023607,0.5257357079537472,0.0943850750888678,4
FOXK1,0.8182539682539682,57.0,False,-1.3276735654965115,-0.8286247643512378,0.501007744582334,-0.5936912967599847,-1.659033823550067,-1.882538204573703,0.3811865264489558,4
IRF2BP1,0.8178571428571428,58.0,False,-2.274656670325236,-1.653009219316367,-0.1518751599038445,0.05287694677111676,-0.5233206681342915,-0.9090499552695268,0.7023994939406851,4
WDR44,0.816468253968254,59.0,False,-0.2625051862295465,-0.6651643056565063,-0.24140672179146505,0.6379430969030597,-0.5886534152637192,-1.1257925784864917,0.31022417170340333,4
FBXO28,0.8162698412698413,60.0,False,-0.5321733896098712,-0.06075234111618466,-1.4939323166799259,-0.3681150356046007,-0.056142017498957385,-0.8319943414903666,-0.08221154959451023,3
CAMSAP1,0.8150793650793651,61.0,False,-0.24426592397216607,0.0022511478280167244,0.22113443272191635,0.4662575529470922,0.220101692391424,-1.1127162311398164,0.3770374475573997,5
UBA5,0.8146825396825397,62.0,False,-0.9813018644597227,-1.9619784962257762,0.3671034014457161,0.08128132557418029,-0.6377535216371406,-0.2664840722170183,0.5033992730475455,5
STAT3,0.814484126984127,63.0,False,-0.1547129738872542,-0.6196645843039129,1.6675131781325487,0.5891981367434015,-4.67536041540161,-1.278926824840171,-0.06089078624905364,5
ZNF274,0.8134920634920635,64.0,False,-0.28399334139828614,0.8605725630773559,-0.60837757665252,-0.8460084240980051,1.9757392396692761,-0.5682782855257467,0.08550871712757131,3
L2HGDH,0.8132936507936508,65.0,False,-0.04002199100849435,0.7492918447691485,0.47610935024982637,0.2541094242933803,2.9143381732646425,-0.8109452100660614,0.6243720506855427,5
THOC6,0.8117063492063492,66.0,False,0.08481663213913593,0.12149396438875848,0.011404307292924534,0.05413047030564182,-0.8608245316748621,-2.00236550680779,0.1667941927006,3
GALNT6,0.8111111111111111,67.0,False,1.9141673161115553,1.759952700137233,0.4783943450436097,1.1097524826592913,0.4764350307988545,-0.3799347907447971,-0.2049338945003726,4
TASOR,0.8109126984126984,68.0,False,0.5237023361959819,0.9588079798404568,1.155376160848557,0.6793489008538007,0.7942843102585431,-0.6017589654100367,0.29137633688908315,4
POGK,0.8097222222222222,69.0,False,-0.7142152132880275,-0.42868135905405175,-0.14519251993851265,-0.5087223081613694,-0.052478245898032495,-2.1394782704881217,0.42933029480538104,3
EP300,0.8095238095238095,70.0,False,-0.8817436216257608,-0.7079889400154747,-0.1674237413147309,-0.26159995212182513,-0.16537206898637594,-0.18563635665852896,0.19682885931280544,3
SMARCE1,0.8075396825396826,71.0,False,-3.087807604909121,-0.41067257506944926,0.9811908296825167,0.12729084867969573,-1.8281033085738088,-1.140832043826332,0.6532817655988844,5
SHLD1,0.8057539682539683,72.0,False,-0.875573017844556,0.45165262212918517,0.036787950299123476,0.0478620424967862,2.522000109635716,-1.2001281756985334,0.7051164456409217,5
GAS2L1,0.8053571428571429,73.0,False,0.25246718530794915,-0.466896085549825,1.3620862953129627,1.4216990906160316,-0.9197468960911886,-1.2136075079164397,0.5486791496660203,4
CBFA2T2,0.8047619047619048,74.0,False,-0.506630508528604,-0.9515299978923135,-0.3361690205288838,0.04793082251737545,-1.1683004242244006,-1.3461667763379817,0.22463144342049837,4
SP1,0.8041666666666667,75.0,False,0.2081501762127649,-0.5205429497511592,-0.05089277005293012,-0.14662885316840293,-0.5417740184192212,-0.2432346281754335,-0.03061137332112107,2
IST1,0.8025793650793651,76.0,False,-1.7561721491440445,-0.2002034760654401,0.3040863534756571,0.19771375219087403,0.4945134621166634,-1.4164227901008002,0.7281853305155798,6
CD28,0.8021825396825397,77.0,False,-0.5557334364382349,0.5687966166990922,0.9943585471661787,1.6675902618889098,1.0045897692978651,-0.9009629965516138,0.7590730657739516,5
STAT5A,0.801984126984127,78.0,False,-0.5037281380219525,1.5190713687054915,0.7847030201975762,0.7497582378917667,2.1283196719636326,-1.2704659659402904,0.6529839442182879,5
GOLGA8A,0.7998015873015873,79.0,False,-0.4717782185064598,-0.29374924021672677,0.31179421546804664,0.06124408750568392,-2.302177561580399,0.55986533604318,-0.2872461893211103,4
MRPS23,0.7998015873015873,79.0,False,-0.0596213380005522,-0.14853116429726446,2.0768468358283787,0.44997300144952196,0.0506178195009239,0.18379850169267103,0.43363194289732837,5
SMARCC1,0.7992063492063493,81.0,False,-1.2208628916311313,-0.6522326290290485,-0.06638045084350645,0.7202204153407273,-1.5634888111400815,-0.7503015872808239,0.28562471021635716,4
CBLB,0.7990079365079366,82.0,False,0.9879829047615419,1.7301309861173202,-0.19194622087872998,-0.6202293619564229,1.9807184204967416,-0.028426849600400816,-0.2535240339361455,2
TMX1,0.7984126984126985,83.0,False,-1.1513111450680282,-1.4996961334207288,0.9815402463814069,1.603353001641477,0.9779574813554932,-1.983497815783029,1.3662259706083606,6
MED24,0.7982142857142858,84.0,False,0.28093844581791577,-1.6371599991780652,-0.8450054428527298,-0.22913288014935285,-3.6689983778300523,-0.45951440830476087,-0.48790012319453746,2
TMED10,0.7958333333333334,85.0,False,-1.0715173064112393,-0.7798907590263333,0.011930328062731227,-0.021536900991077284,0.19840160559277323,-0.025584713207589493,0.3442979685515983,5
DHX36,0.7948412698412699,86.0,False,-1.707242351998497,-0.4685655807390939,1.2496749239082312,1.042076649412935,-0.13920941535203055,-0.577751866922323,0.8176836596048416,5
TBX21,0.7946428571428571,87.0,True,-1.0304474654983722,-1.388886683310898,1.4730483968716968,1.7546304457083972,-3.689764723374729,-1.021238751010732,0.49641450317089447,5
TAF13,0.7936507936507937,88.0,False,-1.0783514872748239,-0.08637415155740902,0.5320490685162556,-0.401422825606273,0.27093695103328735,-1.8016151374227314,0.5613173283663724,5
WRAP53,0.7926587301587302,89.0,False,-0.8449670472133194,-0.5114007593627182,0.6857072591681534,-0.5012841491835837,-1.1185807728360875,0.4254347416106215,-0.0005374329810169295,3
RIPK1,0.7916666666666667,90.0,False,-1.224914709113303,-0.6954589086333728,-1.1538403745722958,-1.2219139418977736,-0.6306277773409142,-1.2175965353384526,0.021931343212357457,3
PAK2,0.791468253968254,91.0,False,-0.5458952319719738,-1.0262295214163544,-0.9513952309843939,-0.14206965082425693,-1.0877212998760675,-1.5180945594759732,0.15150552186326385,3
SLC9A5,0.7912698412698413,92.0,False,0.30226640621352513,0.7546430213128112,0.11037097954888163,-0.05069510001609994,0.19269175376873346,-0.8927915143332545,0.014708286684738892,3
NUBPL,0.7892857142857144,93.0,False,0.02233136886738996,-0.5350572643554342,0.2817187695861948,1.4057234233258595,-1.4347714586678935,-0.31957517816276426,0.18082863464916155,4
SRRD,0.7884920634920635,94.0,False,-0.8460032767702451,0.47735757155451647,-0.001736843006179184,-0.7318594915023651,0.9942288897351782,1.0344748205258474,-0.06753276001391413,2
SCO2,0.7867063492063492,95.0,False,0.5113097478540158,1.072803471464431,1.2546601569231957,0.12209486713212213,0.7797451233197866,-0.2712181941820927,0.1406008537064584,4
