set,ISCI_MWU_p,magnitude_MWU_p,median_mag_pctile
TCR_proximal_phospho,1.5706961414299712e-05,2.4029732705806646e-08,0.987
NFkB_activation,0.011550123571478346,0.35026831581936846,0.54
chromatin_modifiers_T,6.106229647273962e-05,0.003996821500425622,0.694
RNA_decay_brakes,0.7795653809859898,0.006504536877438059,0.863
cytoskeleton_synapse,0.18421920226666877,0.005066036578378209,0.854
Treg_brake_apoptosis,0.0038184987142905616,0.39294374233484486,0.644
