gene,magnitude,mag_pct,specificity,coh_donor,spec_resid_pct,coh_resid_pct,ISCI_orthogonal,ISCI_combined,ISCI_combined_rank,detectable_effect,ISCI_primary_rank,known_regulator,clinical_controller
IRF1,170.33333333333334,0.6730158730158731,0.10234490345416707,0.8672262542148715,0.9742063492063492,0.9277777777777778,0.9509920634920634,0.8473055990981293,34,True,1.0,True,False
IKBKB,99.66666666666667,0.5396825396825397,0.05664529130574259,0.875853974596426,0.9492063492063492,0.9484126984126984,0.9488095238095238,0.786137996211984,74,True,2.0,False,False
BCLAF1,88.33333333333333,0.5091269841269841,0.047875786272974855,0.8922469000345915,0.8857142857142857,0.9623015873015873,0.9240079365079366,0.7570832812943572,122,True,3.0,False,False
TFAP4,261.3333333333333,0.7541666666666667,0.06593077166528401,0.8510621852222519,0.9523809523809523,0.8924603174603175,0.922420634920635,0.8622283855902002,24,True,4.0,False,False
CYB561D2,162.66666666666666,0.6611111111111111,0.05208107270662042,0.8695609905004993,0.9,0.9333333333333333,0.9166666666666667,0.8219610674001256,43,True,5.0,False,False
PDCD5,323.3333333333333,0.7924603174603174,0.059995269451944756,0.85614056902298,0.9242063492063493,0.9023809523809524,0.9132936507936509,0.8710547709229388,21,True,6.0,False,False
ZC3H12A,412.6666666666667,0.8337301587301588,0.06202027027252992,0.8517459730632301,0.925,0.8904761904761904,0.9077380952380952,0.8822598560483501,10,True,7.0,False,False
STAT6,454.6666666666667,0.8527777777777777,0.09462330352751466,0.8391580189123666,0.9587301587301588,0.8535714285714285,0.9061507936507937,0.8870008673286006,8,True,8.0,True,False
RCOR1,414.0,0.8341269841269842,0.059481653645998174,0.8527002444169257,0.9134920634920635,0.8928571428571429,0.9031746031746032,0.8795076923793818,12,True,9.0,False,False
PRKDC,108.66666666666667,0.560515873015873,0.06525903495229386,0.82645952928927,0.9718253968253968,0.832936507936508,0.9023809523809524,0.768415327822171,107,True,10.0,False,False
SETDB1,1594.6666666666667,0.9734126984126984,0.05712243328830834,0.8782089614573477,0.8742063492063492,0.9246031746031746,0.8994047619047619,0.9231850891445748,1,True,11.0,True,False
TWF1,117.33333333333333,0.578968253968254,0.06030637216965013,0.8262081491959954,0.9619047619047619,0.8293650793650794,0.8956349206349207,0.7729964932518633,100,True,12.0,False,False
HEXIM1,557.0,0.8821428571428571,0.08405175212999347,0.8319526429700531,0.9531746031746032,0.8325396825396826,0.8928571428571429,0.88791646444551,6,True,13.0,False,False
GATA3,1126.6666666666667,0.9523809523809523,0.07344896319811478,0.8335665413445322,0.9297619047619048,0.828968253968254,0.8793650793650793,0.9020697428233135,4,True,14.0,True,False
SAMD1,483.6666666666667,0.8607142857142858,0.058174696583882066,0.8413855896263517,0.9003968253968254,0.8579365079365079,0.8791666666666667,0.8728026142375435,18,True,15.0,False,False
MORF4L1,96.33333333333333,0.5307539682539683,0.052072407486322664,0.8251437180477194,0.9246031746031746,0.8305555555555556,0.8775793650793651,0.741433900315328,152,True,16.0,False,False
CD3D,2141.0,0.986904761904762,0.07577921132326795,0.832982728353827,0.9273809523809524,0.8261904761904761,0.8767857142857143,0.9110408839151732,2,True,17.0,False,False
DDIT4,107.66666666666667,0.5581349206349207,0.043509463899174566,0.8632233765328619,0.8174603174603174,0.930952380952381,0.8742063492063492,0.7516998220492516,126,True,18.0,False,False
PPM1D,533.0,0.8722222222222222,0.060844383318645175,0.8333728626392101,0.9126984126984127,0.834920634920635,0.8738095238095238,0.872703154426574,19,True,19.0,False,False
