variant,system,n_pos,n_neg,rho_CM,LR_p_C,dAUPRC,CI_lo,CI_hi,P_gt0,verdict
Marson CD4+ (immune anchor),immune,19,matched,0.02,<1e-4,0.229,0.072,0.405,0.996,PASS
nDE_gate50 (primary),,33,219,-0.005,0.1954,0.0597,-0.0131,0.2038,0.894,FAIL
norm_gate50,,33,216,-0.013,0.2826,0.0586,-0.0191,0.2175,0.864,FAIL
nDE_gate25 (looser),,42,280,0.038,0.0178,0.0736,-0.0115,0.2134,0.905,FAIL
nDE_gate67 (stricter),,16,105,-0.041,0.6909,0.0443,-0.0411,0.1979,0.793,FAIL
